time_of_day,weather,traffic_density,visibility,optimal_sensors
morning,rainy,low,0.48,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,low,0.43,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,high,0.54,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.21,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,medium,0.69,"['ultrasonic', 'alcohol']"
evening,rainy,medium,0.74,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,low,0.37,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,medium,0.27,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,low,0.76,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,foggy,medium,0.5,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,high,0.25,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,low,0.33,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,rainy,medium,0.28,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,medium,0.79,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,medium,0.64,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,low,0.88,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,low,0.23,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,foggy,high,0.48,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,medium,0.98,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,rainy,high,0.61,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,foggy,low,0.29,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,low,0.24,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,high,0.3,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.37,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.66,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,medium,0.76,"['ultrasonic', 'alcohol']"
evening,foggy,medium,0.93,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.36,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,low,0.51,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,medium,0.62,"['ultrasonic', 'alcohol']"
evening,foggy,high,0.54,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,low,0.87,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,medium,0.99,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,high,0.27,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,high,0.7,"['ultrasonic', 'eye_blink', 'alcohol']"
night,rainy,low,0.95,"['ultrasonic', 'alcohol']"
evening,clear,high,0.55,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,medium,0.23,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,medium,0.37,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,high,0.83,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,low,0.64,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,foggy,low,0.8,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,medium,0.86,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,medium,0.79,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,low,0.37,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,medium,0.37,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,low,0.33,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,low,0.51,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,low,0.37,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,low,0.36,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,medium,0.41,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,medium,0.38,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,medium,0.33,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,high,0.75,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,clear,low,0.52,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,rainy,low,0.98,"['ultrasonic', 'alcohol']"
night,rainy,high,0.51,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,high,0.29,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,low,1.0,"['ultrasonic', 'alcohol']"
afternoon,foggy,high,0.29,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,low,0.65,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.88,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,low,0.99,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,foggy,high,0.83,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,high,0.83,"['ultrasonic', 'eye_blink', 'alcohol']"
night,rainy,medium,0.97,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,clear,high,0.72,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,low,0.2,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,low,0.74,"['ultrasonic', 'alcohol']"
night,clear,high,0.24,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.92,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,low,0.76,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.76,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.31,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.43,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,high,0.21,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.8,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,low,0.23,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,foggy,high,0.53,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,high,0.83,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.63,"['ultrasonic', 'eye_blink', 'alcohol']"
night,rainy,high,0.54,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,foggy,medium,0.25,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,medium,0.71,"['ultrasonic', 'alcohol']"
morning,clear,medium,0.75,"['ultrasonic', 'alcohol']"
morning,clear,low,0.26,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,foggy,medium,0.32,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,high,0.77,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,rainy,low,0.76,"['ultrasonic', 'alcohol']"
morning,clear,high,0.98,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,medium,0.87,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,high,0.22,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,low,0.5,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,low,0.65,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,medium,0.71,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,low,0.49,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.29,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,high,0.49,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.79,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,foggy,medium,0.75,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,medium,0.33,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,medium,0.62,"['ultrasonic', 'alcohol']"
afternoon,clear,medium,0.51,"['ultrasonic', 'alcohol']"
night,foggy,low,0.61,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,medium,0.21,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,medium,0.64,"['ultrasonic', 'alcohol']"
morning,clear,medium,0.66,"['ultrasonic', 'alcohol']"
evening,rainy,high,0.89,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,foggy,medium,0.96,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,low,0.64,"['ultrasonic', 'alcohol']"
evening,clear,high,0.93,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,medium,0.35,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,high,0.79,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,rainy,medium,0.99,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,low,0.69,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,rainy,low,0.87,"['ultrasonic', 'alcohol']"
afternoon,rainy,high,0.48,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,low,0.52,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,low,0.74,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,high,0.39,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,medium,0.92,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,medium,0.26,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.69,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.81,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,low,0.97,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,rainy,medium,0.42,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,low,0.24,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.49,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,low,0.94,"['ultrasonic', 'alcohol']"
afternoon,foggy,high,0.93,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.46,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.55,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,low,0.3,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,medium,0.77,"['ultrasonic', 'alcohol']"
afternoon,clear,high,0.23,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,high,0.73,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,clear,high,0.44,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,low,0.45,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,medium,0.47,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.5,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,medium,0.9,"['ultrasonic', 'alcohol']"
evening,foggy,high,0.24,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.23,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.27,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,medium,0.66,"['ultrasonic', 'alcohol']"
evening,rainy,medium,0.81,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,medium,0.75,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,high,0.54,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,medium,0.26,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,low,0.31,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,medium,0.71,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,high,0.8,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,medium,0.77,"['ultrasonic', 'alcohol']"
afternoon,clear,low,0.57,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,low,0.24,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,rainy,medium,0.92,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,medium,0.66,"['ultrasonic', 'alcohol']"
afternoon,foggy,low,0.64,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.38,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,high,0.27,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,low,0.43,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,medium,0.94,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,low,0.22,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,medium,0.36,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.72,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,medium,0.26,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,medium,0.9,"['ultrasonic', 'eye_blink', 'alcohol']"
night,rainy,high,0.76,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,high,0.89,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,high,0.83,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,medium,0.58,"['ultrasonic', 'alcohol']"
afternoon,rainy,low,0.64,"['ultrasonic', 'alcohol']"
evening,rainy,medium,0.94,"['ultrasonic', 'eye_blink', 'alcohol']"
night,rainy,high,0.66,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,medium,0.5,"['ultrasonic', 'alcohol']"
evening,rainy,low,0.93,"['ultrasonic', 'alcohol']"
afternoon,foggy,high,0.4,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,high,0.2,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,low,0.41,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,low,0.51,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.25,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,high,0.88,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,foggy,low,0.8,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.32,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,low,0.24,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,low,0.56,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,low,0.74,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,rainy,high,0.45,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.34,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,high,0.87,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,low,0.78,"['ultrasonic', 'eye_blink', 'alcohol']"
night,rainy,medium,0.79,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,low,0.35,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,foggy,high,0.42,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,medium,0.43,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,medium,0.94,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,high,0.65,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.61,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,medium,0.4,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,medium,0.58,"['ultrasonic', 'alcohol']"
morning,clear,medium,0.88,"['ultrasonic', 'alcohol']"
afternoon,clear,low,0.65,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,clear,medium,0.56,"['ultrasonic', 'alcohol']"
night,foggy,high,0.36,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,low,0.93,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,foggy,low,0.32,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.49,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,medium,0.89,"['ultrasonic', 'alcohol']"
evening,clear,low,0.97,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,rainy,low,0.84,"['ultrasonic', 'alcohol']"
afternoon,rainy,medium,0.34,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,low,0.42,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,medium,0.44,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,low,0.81,"['ultrasonic', 'alcohol']"
morning,clear,low,0.64,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,rainy,high,0.4,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,high,0.46,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,low,0.42,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,low,0.72,"['ultrasonic', 'alcohol']"
morning,rainy,medium,0.74,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,high,0.62,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.9,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,medium,0.62,"['ultrasonic', 'alcohol']"
evening,foggy,low,0.34,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,medium,0.81,"['ultrasonic', 'alcohol']"
afternoon,clear,low,0.3,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,clear,low,0.37,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,low,0.54,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.58,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,medium,0.68,"['ultrasonic', 'alcohol']"
night,rainy,high,0.53,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,high,0.2,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.85,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,medium,0.87,"['ultrasonic', 'alcohol']"
morning,rainy,low,0.68,"['ultrasonic', 'alcohol']"
morning,foggy,low,0.43,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,high,0.61,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,high,0.59,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,low,0.7,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,clear,low,0.94,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,low,0.27,"['ultrasonic', 'eye_blink', 'alcohol']"
night,rainy,high,0.72,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,foggy,high,0.58,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,high,0.27,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,high,0.22,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,low,0.38,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,medium,0.82,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,low,0.23,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,low,0.35,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,high,0.43,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,low,0.59,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,low,0.84,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,foggy,medium,0.5,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,high,0.69,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,low,0.44,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,foggy,low,0.66,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,high,0.85,"['ultrasonic', 'eye_blink', 'alcohol']"
night,rainy,low,0.85,"['ultrasonic', 'alcohol']"
evening,clear,high,0.39,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,medium,0.72,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,high,0.21,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,high,0.95,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,medium,0.89,"['ultrasonic', 'alcohol']"
afternoon,rainy,low,0.81,"['ultrasonic', 'alcohol']"
morning,foggy,high,0.94,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,medium,0.62,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,medium,0.67,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,medium,0.59,"['ultrasonic', 'alcohol']"
morning,rainy,low,0.22,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,medium,0.51,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,medium,0.88,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,medium,0.62,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,medium,0.75,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,rainy,medium,0.54,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,medium,0.23,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.71,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,low,1.0,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,high,0.71,"['ultrasonic', 'eye_blink', 'alcohol']"
night,rainy,low,0.49,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,medium,0.95,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,medium,0.58,"['ultrasonic', 'alcohol']"
morning,clear,low,0.96,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,rainy,medium,0.83,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,foggy,high,0.78,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,high,0.25,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,high,0.37,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,high,0.69,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,low,0.71,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,medium,0.59,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,high,0.41,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,low,0.64,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,medium,0.59,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,rainy,low,0.26,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.27,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,medium,0.72,"['ultrasonic', 'alcohol']"
night,rainy,medium,0.39,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,low,0.99,"['ultrasonic', 'alcohol']"
morning,rainy,high,0.84,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,rainy,high,0.69,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,medium,0.95,"['ultrasonic', 'alcohol']"
afternoon,foggy,low,0.84,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,low,0.9,"['ultrasonic', 'alcohol']"
morning,rainy,medium,0.44,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,high,0.72,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.42,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.26,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,medium,0.27,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,low,0.94,"['ultrasonic', 'alcohol']"
night,clear,medium,0.59,"['ultrasonic', 'alcohol']"
night,clear,low,0.56,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,foggy,high,0.51,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,high,0.69,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.47,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,medium,0.72,"['ultrasonic', 'alcohol']"
afternoon,foggy,medium,0.22,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,low,0.87,"['ultrasonic', 'alcohol']"
night,clear,medium,0.74,"['ultrasonic', 'alcohol']"
morning,rainy,high,0.91,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,foggy,high,0.93,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,medium,0.69,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,medium,0.34,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,high,0.86,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.83,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,high,0.29,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,low,0.3,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,high,0.52,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,high,0.32,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,low,0.65,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.43,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,low,0.66,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,high,0.4,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,medium,0.33,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,low,0.22,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,low,0.4,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,low,0.92,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,medium,0.8,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,low,0.25,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,medium,0.48,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,low,0.81,"['ultrasonic', 'alcohol']"
afternoon,foggy,low,0.34,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,high,0.96,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,medium,0.29,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,low,0.6,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,medium,0.55,"['ultrasonic', 'alcohol']"
afternoon,rainy,medium,0.89,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,foggy,low,0.25,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,medium,0.95,"['ultrasonic', 'alcohol']"
evening,rainy,high,0.49,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,high,0.55,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,high,0.22,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,low,0.71,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,low,0.53,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,rainy,medium,0.57,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,foggy,high,0.48,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,high,0.2,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,medium,0.36,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,high,0.98,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,rainy,low,0.69,"['ultrasonic', 'alcohol']"
morning,clear,low,0.57,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,low,0.61,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,high,0.8,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.43,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.59,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,medium,0.65,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,low,0.42,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,high,0.64,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,medium,0.68,"['eye_blink', 'alcohol', 'Li-Fi']"
